Karma,score,author
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
237,0,Nnarol
7074,0,erdemece
4875,0,Battalist
767,1,GoldenGlovez
947,0,Cheet4h
559,1,kjart
10924,0,jessaay
3180,0,butter_lander
1,0,Red_rum_mur_deR
230,0,limerty
1,0,NadellaIsMyDaddy
5,0,OutragedTux
3180,0,butter_lander
212,0,frackeverything
3180,0,butter_lander
626,0,Hydroel
157,1,ilgazcl
6176,0,Kranke
10864,0,lord-carlos
6409,0,mathiasfriman
6409,0,mathiasfriman
946,0,fiddle_n
2566,0,scarystuff
3180,0,butter_lander
3180,0,butter_lander
5,0,OutragedTux
4366,0,CyberKnight1
1,1,nan
5,1,OutragedTux
3180,0,butter_lander
5049,1,FoolStack
5005,0,pieteek
5,0,heisenberg149
5,0,heisenberg149
3180,1,butter_lander
14455,0,TheAnonymouseJoker
14455,0,TheAnonymouseJoker
25167,0,poomethazine
1,0,nan
14455,0,TheAnonymouseJoker
1,0,NadellaIsMyDaddy
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
10864,0,lord-carlos
30743,0,lannisterstark
14455,0,TheAnonymouseJoker
1327,0,Zowlyfon
14455,0,TheAnonymouseJoker
5,0,OutragedTux
15,0,Sad_Remote_5149
4875,0,Battalist
856,0,rcentros
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
461,0,Fuzzi99
132695,0,steelbeamsdankmemes
3090,0,tunaman808
856,0,rcentros
281,1,saivert
13978,0,BashirManit
13752,0,brunofin
1122,0,RA_lee
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
